"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2019",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
National,,,,,,,,,,,,
United States ,15.5†,13.8,17.3,"12,140",11.9,10.3,13.8,"6,176",18.9,16.7,21.3,"5,964"
States,,,,,,,,,,,,
Alabama ,17.2,14.6,20.2,"1,920",15.3,12.0,19.5,893,19.0,16.0,22.5,"1,027"
Alaska ,14.8,12.5,17.3,"1,736",11.3,8.2,15.4,882,18.0,14.7,21.8,854
Arizona ,13.3,10.7,16.5,"1,739",8.9,6.6,11.8,839,17.6,14.1,21.8,900
Arkansas ,22.1,20.0,24.4,"1,889",19.0,16.6,21.6,982,25.2,21.9,28.9,907
California ,15.9,13.4,18.9,"1,242",10.5,7.9,13.9,606,20.9,16.8,25.7,636
Colorado ,10.3,8.5,12.3,"1,197",7.3,4.9,10.6,637,13.1,10.3,16.4,560
Connecticut ,14.4,12.0,17.2,"1,825",12.1,9.1,15.8,881,16.6,14.2,19.3,944
Delaware ,,,,,,,,,,,,
Florida ,14.0,12.6,15.4,"4,876",11.6,10.1,13.2,"2,531",16.2,14.3,18.4,"2,345"
Georgia ,18.3,16.6,20.1,"4,079",15.7,12.8,19.1,"2,054",20.8,18.3,23.7,"2,025"
Hawaii ,16.4,14.4,18.6,"5,150",11.8,8.9,15.6,"2,531",20.6,18.1,23.3,"2,619"
Idaho ,12.1,10.0,14.6,"1,134",9.1,6.9,11.8,584,15.1,12.3,18.3,550
Illinois ,15.2,13.3,17.2,"2,835",11.7,9.2,14.7,"1,363",18.5,16.8,20.4,"1,472"
Indiana ,,,,,,,,,,,,
Iowa ,17.0,14.1,20.4,"1,500",14.7,10.7,19.9,731,19.2,13.8,26.1,769
Kansas ,15.1,12.7,17.9,"1,338",13.5,10.1,17.9,703,16.7,13.5,20.4,635
Kentucky ,18.4,15.6,21.5,"1,849",14.6,11.7,18.1,938,21.9,18.1,26.3,911
Louisiana ,16.5,13.4,20.1,"1,154",13.6,10.4,17.6,610,19.3,15.5,23.7,544
Maine ,14.9,13.2,16.8,"7,557",10.6,8.9,12.5,"3,747",18.9,16.8,21.1,"3,810"
Maryland ,12.8,12.1,13.5,"37,012",10.9,10.0,11.7,"18,761",14.6,13.6,15.6,"18,251"
Massachusetts ,14.2,11.5,17.4,"2,023",11.3,7.8,16.0,"1,033",17.0,14.3,20.0,990
Michigan ,15.3,13.0,17.9,"4,341",13.8,11.0,17.3,"2,222",16.7,14.2,19.6,"2,119"
Mississippi ,23.4,20.9,26.1,"1,634",21.1,17.5,25.1,829,25.8,22.3,29.6,805
Missouri ,18.4,15.0,22.3,"1,156",13.9,11.1,17.3,621,22.7,17.9,28.5,535
Montana ,11.5,10.1,13.1,"3,651",9.4,7.7,11.5,"1,790",13.5,11.8,15.4,"1,861"
Nebraska ,13.3,11.0,16.0,"1,285",10.3,7.7,13.6,649,16.1,12.7,20.1,636
Nevada ,12.3,10.3,14.5,"1,299",9.3,7.4,11.5,705,15.0,12.2,18.4,594
New Hampshire ,12.7,12.0,13.4,"12,278",9.1,8.3,10.0,"6,191",16.1,15.1,17.2,"6,087"
New Jersey ,11.9,9.9,14.3,"1,313",9.9,8.0,12.2,693,13.9,10.9,17.4,620
New Mexico ,15.2,13.5,17.1,"7,106",12.1,10.5,14.1,"3,619",18.2,15.9,20.6,"3,487"
New York ,13.4,11.8,15.2,"9,215",11.4,9.3,13.8,"4,794",15.4,12.8,18.4,"4,421"
North Carolina ,15.4,12.6,18.7,"2,716",12.7,9.9,16.1,"1,435",17.9,14.5,22.0,"1,281"
North Dakota ,14.0,11.8,16.5,"1,975",11.5,9.1,14.4,978,16.5,13.6,19.8,997
Ohio ,16.8,13.7,20.4,"1,129",13.3,10.0,17.6,547,20.0,15.6,25.2,582
Oklahoma ,17.6,15.7,19.7,"1,888",14.4,11.6,17.7,891,20.7,17.9,23.8,997
Pennsylvania ,15.4,13.7,17.2,"2,172",12.6,10.6,15.0,"1,075",17.9,15.5,20.7,"1,097"
Rhode Island ,14.3,10.4,19.3,"1,462",10.5,7.1,15.3,734,18.0,13.3,24.0,728
South Carolina ,16.6,13.1,20.7,"1,121",12.7,9.1,17.6,566,20.2,16.3,24.7,555
South Dakota ,14.1,12.4,16.0,"1,358",10.1,8.1,12.5,675,17.9,15.2,21.0,683
