ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
25828,2019,2019,2019,US,National,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,15.5,,,13.8,17.3,"1,214",,,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
22370,2019,2019,2019,AL,Alabama,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,17.2,,,14.6,20.2,"1,920",32.84057112,-86.63186076,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
22454,2019,2019,2019,AK,Alaska,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,14.8,,,12.5,17.3,"1,736",64.84507996,-147.722059,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
22538,2019,2019,2019,AZ,Arizona,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,13.3,,,10.7,16.5,"1,739",34.86597028,-111.7638113,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
22622,2019,2019,2019,AR,Arkansas,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,22.1,,,20,24.4,"1,889",34.74865012,-92.27449074,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
22706,2019,2019,2019,CA,California,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,15.9,,,13.4,18.9,"1,242",37.63864012,-120.9999995,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
22790,2019,2019,2019,CO,Colorado,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,10.3,,,8.5,12.3,"1,197",38.84384076,-106.1336109,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
22846,2019,2019,2019,CT,Connecticut,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,14.4,,,12,17.2,"1,825",41.56266102,-72.64984095,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
22916,2019,2019,2019,DC,District of Columbia,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,17.1,,,16.2,17.9,"8,978",38.89037139,-77.03196113,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
22986,2019,2019,2019,FL,Florida,YRBSS,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity †,,,VALUE,Value,14,,,12.6,15.4,"4,876",28.93204038,-81.92896054,OWS,OWS1,Q038,,Total,OVR,Total,OVERALL,,,,,,,,,12,,,,
